cases,deaths,countriesAndTerritories,dateRep,countryterritoryCode,popData2019,contintent
3,0,Saint Kitts and Nevis,2020-12-06,KNA,52823.0,Americas
3,0,Saint Lucia,2020-12-06,LCA,182790.0,Americas
0,0,Saint Vincent and the Grenadines,2020-12-06,VCT,110589.0,Americas
33,1,San Marino,2020-12-06,SMR,33860.0,Europe
0,0,Sao Tome and Principe,2020-12-06,STP,215056.0,Africa
190,14,Saudi Arabia,2020-12-06,SAU,34268528.0,Asia
100,1,Senegal,2020-12-06,SEN,16296364.0,Africa
6903,57,Serbia,2020-12-06,SRB,6944975.0,Europe
0,0,Seychelles,2020-12-06,SYC,97625.0,Africa
0,0,Sierra Leone,2020-12-06,SLE,7813215.0,Africa
13,0,Singapore,2020-12-06,SGP,5703569.0,Asia
2070,24,Slovakia,2020-12-06,SVK,5454073.0,Europe
1642,47,Slovenia,2020-12-06,SVN,2087946.0,Europe
0,0,Solomon Islands,2020-12-06,SLB,669823.0,Oceania
0,0,Somalia,2020-12-06,SOM,15442905.0,Africa
4645,104,South Africa,2020-12-06,ZAF,58558270.0,Africa
12,0,South Sudan,2020-12-06,SSD,11062113.0,Africa
0,0,Spain,2020-12-06,ESP,47076781.0,Europe
669,7,Sri Lanka,2020-12-06,LKA,21803000.0,Asia
661,19,Sudan,2020-12-06,SDN,42813238.0,Africa
2,0,Suriname,2020-12-06,SUR,581372.0,Americas
0,0,Sweden,2020-12-06,SWE,10285453.0,Europe
0,31,Switzerland,2020-12-06,CHE,8574832.0,Europe
87,5,Syria,2020-12-06,SYR,17070135.0,Asia
4,0,Taiwan*,2020-12-06,CNG1925,,
40,0,Tajikistan,2020-12-06,TJK,9321018.0,Asia
0,0,Tanzania,2020-12-06,TZA,58005463.0,Africa
14,0,Thailand,2020-12-06,THA,69625582.0,Asia
0,0,Timor-Leste,2020-12-06,TLS,1293119.0,Asia
0,0,Togo,2020-12-06,TGO,8082366.0,Africa
16,1,Trinidad and Tobago,2020-12-06,TTO,1394973.0,Americas
1091,45,Tunisia,2020-12-06,TUN,11694719.0,Africa
31896,196,Turkey,2020-12-06,TUR,83429615.0,Asia
213875,2254,US,2020-12-06,USA,328239523.0,Americas
290,0,Uganda,2020-12-06,UGA,44269594.0,Africa
14157,236,Ukraine,2020-12-06,UKR,44385155.0,Europe
1214,3,United Arab Emirates,2020-12-06,ARE,9770529.0,Asia
15579,397,United Kingdom,2020-12-06,GBR,66834405.0,Europe
234,1,Uruguay,2020-12-06,URY,3461734.0,Americas
